Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Year
,51,31,.622,11.0,108.5,105.4,2.92,Portland Trail Blazers*,1993
,41,41,.500,21.0,107.1,106.8,0.33,Los Angeles Clippers*,1993
,39,43,.476,23.0,104.2,105.5,-1.20,Los Angeles Lakers*,1993
,34,48,.415,28.0,109.9,110.9,-0.94,Golden State Warriors,1993
,25,57,.305,37.0,107.9,111.1,-3.00,Sacramento Kings,1993
New York Knicks*,57,25,.695,—,98.5,91.5,6.48,,1994
Orlando Magic*,50,32,.610,7.0,105.7,101.8,3.68,,1994
New Jersey Nets*,45,37,.549,12.0,103.2,101.0,2.11,,1994
Miami Heat*,42,40,.512,15.0,103.4,100.7,2.40,,1994
Boston Celtics,32,50,.390,25.0,100.8,105.1,-4.28,,1994
Philadelphia 76ers,25,57,.305,32.0,98.0,105.6,-7.37,,1994
Washington Bullets,24,58,.293,33.0,100.4,107.7,-7.13,,1994
Atlanta Hawks*,57,25,.695,—,101.4,96.2,4.94,,1994
Chicago Bulls*,55,27,.671,2.0,98.0,94.9,2.87,,1994
Indiana Pacers*,47,35,.573,10.0,101.0,97.5,3.26,,1994
Cleveland Cavaliers*,47,35,.573,10.0,101.2,97.1,3.64,,1994
Charlotte Hornets,41,41,.500,16.0,106.5,106.7,-0.23,,1994
Milwaukee Bucks,20,62,.244,37.0,96.9,103.4,-6.24,,1994
Detroit Pistons,20,62,.244,37.0,96.9,104.7,-7.46,,1994
,58,24,.707,—,101.1,96.8,4.19,Houston Rockets*,1994
,55,27,.671,3.0,100.0,94.8,5.05,San Antonio Spurs*,1994
,53,29,.646,5.0,101.9,97.7,4.10,Utah Jazz*,1994
,42,40,.512,16.0,100.3,98.8,1.54,Denver Nuggets*,1994
,20,62,.244,38.0,96.7,103.6,-6.55,Minnesota Timberwolves,1994
,13,69,.159,45.0,95.1,103.8,-8.19,Dallas Mavericks,1994
,63,19,.768,—,105.9,96.9,8.68,Seattle SuperSonics*,1994
,56,26,.683,7.0,108.2,103.4,4.68,Phoenix Suns*,1994
,50,32,.610,13.0,107.9,106.1,1.76,Golden State Warriors*,1994
,47,35,.573,16.0,107.3,104.6,2.60,Portland Trail Blazers*,1994
,33,49,.402,30.0,100.4,104.7,-3.93,Los Angeles Lakers,1994
,28,54,.341,35.0,101.1,106.9,-5.32,Sacramento Kings,1994
,27,55,.329,36.0,103.0,108.7,-5.28,Los Angeles Clippers,1994
Orlando Magic*,57,25,.695,—,110.9,103.8,6.44,,1995
New York Knicks*,55,27,.671,2.0,98.2,95.1,2.78,,1995
